No,Name,Adress,Phone,Fax,Email,Website,Executive Contact,Classifications,Company Profile
17,ACCOUNTABLE PTE LTD,"BLK 60 , PAYA LEBAR ROAD PAYA LEBAR SQUARE PAYA LEBAR SQUARE #08-06 #08-06 Singapore Singapore 409051 409051",91063618,N/A,linley.acctable@gmail.com,N/A,,"Certification,Corporate Secretarial & Management Services,Budgeting,Cash Flow Forecasting,Planning & Budgeting,Financial Controls for SMEs,Company_Incorporation,Bookkeeping,Business Solution Provider,Corporate Secretariat Services,Financial and Accounting Processes","More than just providing the usual corporate secretarial and book-keeping services, we help businesses transform the way they operate by working with appropriate cloud based vendors to offer best-fit solutions. We also offer financial planning and analysis services and user training from experienced chartered accountants. Our portfolio includes the healthcare industry, non-profit organisation and social enterprises, IT, and many more."
18,ACCOUNTANCY HUB,"105 , Cecil Street The Octagon The Octagon #15-02 #15-02 Singapore Singapore 069534 069534",+65 6324 7713,+65 6225 9110,helpdesk@accountancyhub.com.sg,www.accountancyhub.com.sg,LYDIA LIEW,"Advisory Services,Tax Planning,Bookkeeping","Accountancy Hub offers you a complete range of One-Stop business solution services from pre and post registration including company formation, accounting and bookkeeping, secretarial, tax advisory / compliance, employment pass application and payroll processing, and other attractive business service package."
19,ACCOUNTING CONSULTANCY PTE LTD,"33 , UBI AVENUE 3 Vertex Tower B Vertex Tower B #07-21 #07-21 Singapore Singapore 408868 408868",64818101,64818553,warrenwong@accountingconsultancy.com,www.accountingconsultancy.com,,"Advisory Services,Audit of Gross Turnover (GTO),Set up Management Information Systems, Financial Management and Control Systems, etc,Company_Incorporation,Bookkeeping,Financial and Accounting Processes,HR Processes,Filing Tax Returns,GST","Accounting Consultancy is a professional Accounting Firm in Singapore with a highly qualified and experienced team to provide one stop services including accounting services, bookkeeping services, auditing services, income tax filing, corporate secretarial services, company incorporation, company strike-off, business consulting and corporate advisory services to both local and international clients. With more than 18 years of experiences, we have a dedicated team to serve the needs of companies from a wide spectrum of industries as below: - Air-conditioning - Airline Agencies - Automotive - Educational & Training - Food Industries - Freight Forwarders - Hardware - Insurance Agencies - Interior Design - Investment Holdings - IT Industries - Jewellers - Manufacturing - MCST Accounts - Movie productions - Publishing - Research & development - Restaurants - Retails - Self-storage business - Trading - Wholesales For more details:- Call/Whatapps us: 9742 9706 Email us: enquiry@accountingconsultancy.com Visit us: www.accountingconsultancy.com"
20,ACCOUNTINGSERVICE.BIZ,"7 , Jalan Chermat Singapore Singapore 538359 538359",N/A,N/A,accgsvc.biz@gmail.com,www.accountingservice.sg,MS TREASA WALTER,Corporate Training Courses,
21,ACCRETION ACCOUNTING AND CONSULTANCY SERVICES PTE LTD,"271B , Sengkang Central #09-275 #09-275 Singapore Singapore 542271 542271",N/A,+65 9128 9276,general@accretion.com.sg,www.accretion.com.sg,MS JULIA SOODirectorEmail: julia.soo@accretion.com.sg MS AUTUMN TANG DirectorEmail: general@accretion.com.sg,"Advisory Services,Audit of Gross Turnover (GTO),Set up Management Information Systems, Financial Management and Control Systems, etc,Corporate Secretariat Services,Filing Tax Returns,GST",
22,ACCTRUST ASSURANCE PAC,"No. 2 , Shenton Way SGX Centre 1 SGX Centre 1 #08-05 #08-05 Singapore Singapore 068804 068804",N/A,N/A,business@acctrust.com.sg,www.acctrust.com.sg,MR ANDREW SIM,"Advisory Services,Corporate Secretariat Services",
23,ACCVISORY PRIVATE LIMITED,"163A , Telok Ayer Street Singapore Singapore 068616 068616",N/A,+65 6220 3880,chuachoongthoong@accvisory.com,www.accvisory.com,CHUA CHOONG THOONG,"Corporate Governance,Budgeting,Business Valuation,Financial Investigation,Litigation Assistance,Payroll & HR Administration Services,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Corporate Secretariat Services,IE Singapore Schemes,IDA Schemes,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes,Due Diligence",
24,ACFOSS ASSURANCE,"18 , Boon Lay Way Tradehub 21 Tradehub 21 #10-102 #10-102 Singapore Singapore 609966 609966",N/A,+65 6686 3013,mok@acfoss.com.sg,www.acfoss.com.sg,MOK WAI SENG,"Statutory/ External Audit,Charity Audit,Budgeting,Corporate Recovery,Receivership,Buying and Selling Businesses,Cash Flow Forecasting,Financial Investigation,Litigation Assistance,Payroll & HR Administration Services,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST,Bookkeeping,Loan Finance and Leasing Advice,Financing Arrangement and Rearrangement,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Productivity & Innovation Credit (PIC),SPRING Singapore Schemes,Computerised Accounting Systems,Information Technology and E-Commerce,Financial and Accounting Processes,HR Processes,Due Diligence",
25,ACME CORPORATE SERVICES PTE LTD,"10 , Anson Road International Plaza International Plaza #26-04 #26-04 Singapore Singapore 079903 079903",N/A,N/A,alagappan@acmecorporateservices.com,www.acmecorporateservices.com,MR ALAGAPPAN PERIANAN,"Internal Audit,Bookkeeping,Loan Finance and Leasing Advice,Grant Applications,Business Formation/Start-Up,Business Plans,Corporate Secretariat Services,IE Singapore Schemes,IDA Schemes,Investment Advice and/or Portfolio Management,Set up Management Information Systems, Financial Management and Control Systems, etc,Enterprise Risk Management,Financial Risk Management,Filing Tax Returns,GST,Corporate Governance,Budgeting,Restructuring,Buying and Selling Businesses,Cash Flow Forecasting,Financial Investigation,Payroll & HR Administration Services,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes,Market Expansion Services,Due Diligence",
26,ACME FOCUS PTE. LTD.,"46 , South Bridge Road Kingly Building Kingly Building #04-01 #04-01 Singapore Singapore 058679 058679",N/A,N/A,tn.tan@eppaf.com,N/A,MR TAN THAI NGEE,Statutory/ External Audit,
27,ACUMEN ASSURANCE,"138 , Cecil Street Cecil Court Cecil Court #09-02 #09-02 Singapore Singapore 069538 069538",N/A,+65 6222 0028,N/A,www.venturecorp.com.sg/,LOOI YONG KEAN,"Internal Audit,Charity Audit,Bookkeeping,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Payroll & HR Administration Services,Others,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST,Board Recruitment,Budgeting,Company Listing,Productivity & Innovation Credit (PIC),SPRING Singapore Schemes,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes",
28,ACUTUS LLP,"133 , New Bridge Road Chinatown Point Chinatown Point #25-03/08 #25-03/08 Singapore Singapore 059413 059413",N/A,+65 6538 4673,info@acutus-ca.com,www.acutus-ca.com,MR JACK LAM (MANAGING PARTNER)EMAIL: JACK.LAM@ACUTUS-CA.COMMS WENDY TAN (SENIOR PARTNER)EMAIL: WENDY.TAN@ACUTUS-CA.COMMS LIM SOH YEN (PARTNER)EMAIL: SOHYEN.LIM@ACUTUS-CA.COM,"Statutory/ External Audit,Internal Audit,Bankruptcies and/or Liquidations,Corporate Recovery,Corporate Secretariat Services,Bookkeeping,Business Formation/Start-Up,Business Coaching,Filing Tax Returns,GST","Established since 1987, Acutus provides an extensive range of accounting, tax and advisory services to businesses both locally and internationally.  Our ability to constantly adapt to changing environment and the quest to continuously enhance the quality of our practice has enable us to provide proactive services to support the changing needs of our clients. Empowered by in-depth knowledge drawn from vast experiences from our 30 years in practice, we can offer strategic advice and deliver solutions which make us uniquely different from most practices.  Acutus is also a member of Abacus Worldwide, a global association of independent accountants and law firms headquartered in the United States. Abacus operates in more than 30 countries with more than 60 member firms providing a combined resource of more than 2000 professionals. With this, clients of the firm with international needs will benefit directly from the relationships and resources that the firm can harness globally for cross border activities.  “Acutus” is a Latin word connoting clarity and sharpness. These qualities inspire and define our service standards."
29,ADAGIO CHARTERED ACCOUNTANTS,"59 , Verde Grove Singapore Singapore 688591 688591",N/A,N/A,N/A,N/A,,"Statutory/ External Audit,Grant Applications,Business Formation/Start-Up,Filing Tax Returns,Bookkeeping,Bankruptcies and/or Liquidations,Corporate Secretariat Services",
30,ADELPHIE & ASSOCIATES,"7500A , Beach Road The Plaza The Plaza #11-320 #11-320 Singapore Singapore 199591 199591",+65 6296 8669,N/A,adelphie@singnet.com.sg,N/A,MS LIM YAU WEN,Statutory/ External Audit,
31,ADVANTE MANAGEMENT SERVICES PTE LTD,"46 , Kim Yam Road The Herencia The Herencia #03-02 #03-02 Singapore Singapore 239351 239351",N/A,+65 6461 9325,info@advantems.com,N/A,Cynthia Choo,"Corporate Secretariat Services,Tax Planning",
32,ADVISORS INCORPORATED PTE LTD,"10 , Anson Road International Plaza International Plaza #26-10 #26-10 Singapore Singapore 079903 079903",+65 6323 9080,+65 6222 5528,N/A,www.advisors-incorporated.com,JEAN DE SOUZA,"Bookkeeping,Business Formation/Start-Up,Productivity & Innovation Credit (PIC),IE Singapore Schemes,Due Diligence,Grant Applications,Corporate Secretariat Services,Filing Tax Returns,GST",
33,AFX & ASSOCIATES,"28 , Sin Ming Lane Midview City Midview City #03-129 #03-129 Singapore Singapore 573972 573972",+65 6570 6913,N/A,alvin@afxassociates.com.sg,N/A,ALVIN YAP,"Statutory/ External Audit,Business Formation/Start-Up,Computerised Accounting Systems,Bookkeeping,Corporate Secretariat Services,Filing Tax Returns,GST",
34,AGERE ACCOUNTING & ADVISORY PTE. LTD,"60 , Paya Lebar Road Paya Lebar Square Paya Lebar Square #12-53 #12-53 Singapore Singapore 409051 409051",+65 6295 1698,+65 6323 2671,enquiry@agere-ca.com,https://www.agere-ca.com/,MS ELAINE LIM,"Statutory/ External Audit,Internal Audit,Business Formation/Start-Up,Corporate Training Courses,Payroll & HR Administration Services,Filing Tax Returns,GST,Bookkeeping,Corporate Secretariat Services,Financial and Accounting Processes",
35,AGLOW CORPORATE SERVICES PTE LTD,"20 , Maxwell Road Maxwell House Maxwell House #09-17 #09-17 Singapore Singapore 069113 069113",N/A,+65 6399 3699,enquiry@aglowcorporatesvcs.com.sg,www.aglowcorporatesvcs.com.sg,Mr David Lee,Corporate Secretariat Services,
36,AI LEEN & ASSOCIATES LLP,"9 , Temasek Boulevard Suntec Tower 2 Suntec Tower 2 #09-01 #09-01 Singapore Singapore 038989 038989",N/A,N/A,sharon@accesscc.com,www.accesscc.com,"MISS LEE AI LEEN, SHARON","Statutory/ External Audit,Bookkeeping,Restructuring,Business Valuation,Buying and Selling Businesses,Financial Investigation,Financial and Accounting Processes,Due Diligence,Merger and Acquisition,Corporate Governance,Budgeting,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Payroll & HR Administration Services,Filing Tax Returns,Tax Planning",
37,AI LIN YEO & CO,"171 , Tras St Union Building Union Building #05-175 #05-175 Singapore Singapore 079025 079025",+65 6343 0565,N/A,angeline@ailinyeo.com,N/A,"MS YEO AI LIN, ANGELINE",Statutory/ External Audit,
38,AKBER ALI & CO,"180B , Bencoolen Street The Bencoolen The Bencoolen #12-05 #12-05 Singapore Singapore 189648 189648",+65 6392 0021,+65 6392 0923,akber@singnet.com.sg,www.akberali.com,MR AKBER ALI S/O THAJUDEEN,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Bookkeeping",
39,AL & CO,"51 , Scotts Road Prudential@Scotts Prudential@Scotts #02-01 #02-01 Singapore Singapore 228241 228241",N/A,N/A,almcxy@gmail.com,N/A,MR LAW KAH THUAN,Statutory/ External Audit,
40,ALAN NG & PARTNERS,"10 , Anson Road International Plaza International Plaza #29-10 #29-10 Singapore Singapore 079903 079903",+65 6327 0324,+65 6223 5212,alan@myaccountant.com.sg,N/A,ALAN NG TIAN LUEN,"Statutory/ External Audit,Grant Applications,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Productivity & Innovation Credit (PIC)",
41,ALFRED P F SHEE & CO,"35 , Selegie Road Parklane Shopping Mall Parklane Shopping Mall #09-30 #09-30 Singapore Singapore 188307 188307",+65 6337 4263,+65 6336 8290,N/A,N/A,ALFRED SHEE PING FATT,"Statutory/ External Audit,Internal Audit,Bookkeeping,Bankruptcies and/or Liquidations,Business Valuation,Financial Investigation,Financial and Accounting Processes,HR Processes,Filing Tax Returns,GST,Corporate Governance,Budgeting,Business Formation/Start-Up,Corporate Secretariat Services,Payroll & HR Administration Services,Others,Enterprise Risk Management,Financial Risk Management,Due Diligence",
42,ALKT & COMPANY,"157 , Sin Ming Road Amtech Building Amtech Building #01-06 #01-06 Singapore Singapore 575624 575624",N/A,+65 6455 5682,almcxy@gmail.com,N/A,MR LAW KAH THUAN,Statutory/ External Audit,
43,ALLIANCE ADVISORY SERVICES PTE LTD,"400 , Orchard Road Orchard Towers Orchard Towers #17-05 #17-05 Singapore Singapore 238875 238875",N/A,+65 6735 1588,general@allianceadvisoryspl.com,www.allianceadvisoryspl.com,,"Bookkeeping,Filing Tax Returns",
44,ALLIANCE PRACTICE LLP,"59/59A , Neil Road Singapore Singapore 088894 088894",+65 6224 5018,+65 6224 5272,general@alliancepractice.com,www.alliancepractice.com,MR LUAR ENG HWA,"Statutory/ External Audit,Bookkeeping",
45,ALPES ASSURANCE LLP,"20 , Peck Seah Street #02-00 #02-00 Singapore Singapore 079312 079312",+65 6226 3513,+65 6226 3517,info@alpes.com.sg,www.alpes.com.sg,PENNY TAN,"Advisory Services,Tax Planning",
46,ALTERNATIVE ADVISORS ASSOCIATES,"1 , Commonwealth Lane One Commonwealth One Commonwealth #06-21 #06-21 Singapore Singapore 149544 149544",N/A,+65 6534 7022,jwwong@aapl.sg,www.aapl.sg,WONG JOO WAN,"Advisory Services,Business Coaching,Business Intelligence,Financial Investigation,Litigation Assistance,Market Expansion Services,Corporate Recovery,Receivership,Buying and Selling Businesses,Capital Investment,Cross-border Investment Advisory,Due Diligence",
47,ALTERNATIVE ADVISORS PTE LTD,"1 , Commonwealth Lane One Commonwealth One Commonwealth #06-21 #06-21 Singapore Singapore 149544 149544",N/A,+65 6534 7022,jwwong@aapl.sg,www.aapl.sg,WONG JOO WAN,"Advisory Services,Business Coaching,Business Intelligence,Financial Investigation,Litigation Assistance,Market Expansion Services,Corporate Recovery,Receivership,Buying and Selling Businesses,Capital Investment,Cross-border Investment Advisory,Due Diligence",
48,ALVIN CHEE & CO,"80 , Marine Parade Road Parkway Parade Parkway Parade #16-09 #16-09 Singapore Singapore 449269 449269",+65 6345 2333,+65 6345 4554,patkan@patkan.com.sg,www.patkan.com,MR PATRICK KAN,"Statutory/ External Audit,Budgeting,Business Formation/Start-Up,Business Coaching,Computerised Accounting Systems,Due Diligence,Bookkeeping,Bankruptcies and/or Liquidations,Corporate Recovery,Payroll & HR Administration Services,Relocation Services,Filing Tax Returns,GST",
49,ALWYN LIM & COMPANY,"7500A , Beach Road The Plaza The Plaza #13-320 #13-320 Singapore Singapore 199591 199591",+65 6292 2411,+65 6298 7950,N/A,www.alwynlim.com,ALWYN LIM,"Statutory/ External Audit,Gross Sales Certification,Bankruptcies and/or Liquidations,Productivity & Innovation Credit (PIC),Bookkeeping,Business Formation/Start-Up",
50,AM CORPORATE SERVICES PTE LTD,"8 , Burn Road Trivex Trivex #07-07 #07-07 Singapore Singapore 369977 369977",+65 6206 1710,N/A,admin@amcorp.com.sg,www.amcorp.com.sg/,,"Bookkeeping,Business Formation/Start-Up",
51,ANG & CO PAC,"190 , Middle Road Fortune Centre Fortune Centre #17-05 #17-05 Singapore Singapore 188979 188979",+65 6338 3922,+65 6336 1652,office@angnco.com,www.angnco.com,MR ANG KONG MENG,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Computerised Accounting Systems,Due Diligence,Bookkeeping,Business Formation/Start-Up,Payroll & HR Administration Services,Recruitment Services/Executive Search,Filing Tax Returns,GST",
52,ANN LI & CO.,"11 , Keng Cheow Street #04-10 #04-10 Singapore Singapore 059608 059608",N/A,N/A,annli2007@hotmail.com,N/A,MS LI YAN PING,Statutory/ External Audit,
53,Apen Chartered Accountants,"21 , Bukit Batok Crescent WCEGA Tower WCEGA Tower #12-79 #12-79 Singapore Singapore 658065 658065",68092294,N/A,jon@apen.com.sg,https://apen.com.sg,,"Statutory/ External Audit,Productivity & Innovation Credit (PIC),SPRING Singapore Schemes,Due Diligence,Bookkeeping,Filing Tax Returns,GST",
54,APPLIED CHARTERED ACCOUNTANTS PTE LTD,"Blk 1003 , Bukit Merah Central #07-29 #07-29 Singapore Singapore 159836 159836",N/A,N/A,enquiry@appliedca.com.sg,www.appliedca.com.sg,LAWRENCE POH,"Buying and Selling Businesses,Tax Planning",
55,APTA MANAGEMENT SERVICES PTE LTD,118 Aljunied Avenue 2 Aljunied Avenue 2 #03-104 #03-104 Singapore Singapore 380118 380118,+65 6732 4150,+65 6732 4152,limchin@apta.com.sg,www.APTA.com.sg,LIM CHIN,"Statutory/ External Audit,Internal Audit,Budgeting,Cash Flow Forecasting,Financial Restructuring,Productivity & Innovation Credit (PIC),Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Payroll & HR Administration Services,Recruitment Services/Executive Search,Financial and Accounting Processes,HR Processes,Due Diligence",
56,ARDENT ASSOCIATES LLP,"112 , Robinson Road Level 8 Level 8 Singapore Singapore 068902 068902",+65 6356 9098,+65 6323 2671,enquiry@ardent.com.sg,www.ardent.com.sg,TERENCE NG,"Internal Audit,Advisory Services,Bankruptcies and/or Liquidations,Corporate Recovery,Business Valuation,Financial Restructuring,Financial and Accounting Processes,Transaction Advisory,Due Diligence,Bookkeeping,Business Formation/Start-Up,Business Coaching,Financial Investigation,Litigation Assistance,Filing Tax Returns,GST","Ardent was established in 2008 by a team of qualified Chartered Accountants of Singapore. Since then, we have evolved into an award-winning firm.  At Ardent, we constantly strive to deliver service excellence. Regardless of the nature or size of the engagement, we insist on uncompromising quality, working in our clients’ best interests while upholding our values of integrity and professionalism. We aspire to be a practice that clients and employees are proud to be associated with.  Our partners have extensive experience and are supported by a large group of dedicated and skilled professional staff. Combined with our global network, our capabilities and resources allow us to provide you the support that your business needs, no matter where you are on your growth journey.  Ardent is a member of Kreston International, the 12th largest global network of independent accounting firms. We work closely with our fellow member firms to serve our clients’ global needs."
57,ARK ASSURANCE,"81 , Ubi Avenue 4 UB.One UB.One #11-22 #11-22 Singapore Singapore 408830 408830",N/A,+65 6604 6334,secretarial@arkgroup.com.sg,www.arkgroup.com.sg,JESSIE LOW MUI CHOO,"Statutory/ External Audit,Business Valuation,Productivity & Innovation Credit (PIC),SPRING Singapore Schemes,Financial/Wealth Planning,Bookkeeping,Corporate Secretariat Services,Payroll & HR Administration Services,Others,Filing Tax Returns,GST",
58,ASCENT ACCOUNTING CORPORATION PAC,"20 , Maxwell Road Maxwell House Maxwell House #09-17 #09-17 Singapore Singapore 069113 069113",N/A,+65 6725 8040,N/A,www.ascentpac.com,DESMOND LOH,"Statutory/ External Audit,Audit of Gross Turnover (GTO),Business Formation/Start-Up,Corporate Secretariat Services,IE Singapore Schemes,IDA Schemes,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes,Due Diligence,Bookkeeping,Cash Flow Forecasting,Capital Raising,Financial Investigation,Payroll & HR Administration Services,Recruitment Services/Executive Search,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST",
59,ASCENTIATAX SERVICES PTE LTD,"8 , Eu Tong Sen Street The Central The Central #24-87 #24-87 Singapore Singapore 059818 059818",N/A,+65 6725 8020,info@ascentiatax.com,www.ascentiatax.com,HO SOON WING,"Filing Tax Returns,GST",
60,ASQM,"Block 607 , Ang Mo Kio Ave 4 #01-1293 #01-1293 Singapore Singapore 560607 560607",N/A,N/A,audit@asqmcpa.com,N/A,MR LEE TUCK MUN,Statutory/ External Audit,
61,ASSURANCE PARTNERS LLP,"140 , Paya Lebar Road AZ@Paya Lebar AZ@Paya Lebar #10-09 #10-09 Singapore Singapore 409015 409015",N/A,+65 6702 3038,cliff.goh@assurancepartners.sg,www.assurancepartners.co,MR CLIFF GOH,"Statutory/ External Audit,Business Plans,Bookkeeping,Corporate Secretariat Services","With many years' experience in Singapore, assurance partners is committed to providing a comprehensive range of practical accounting services for today's economic environment that help you realise your goals.  We appreciate that selecting a firm to entrust with your accounting, financial, and business advisory requirements is an important decision, intensified by rapid economic changes, increases in competitive pressures, and resource availability. With our benchmarking, cash flow forecasting, and other tools, assurance partners is well placed to help you make an informed decision."
